OBJECTID,PUD_NAME,PUD_WEB_URL,PUD_CHANGE_NARRATIVE,PUD_ZONING,PUD_STATUS,PUD_CASE_NUMBER,SHAPEAREA,SHAPELEN,GLOBALID,WARD
2635,International Bank for Reconstr. & Dev.,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-3-B,Final,89-17,0,0,{C1C7A5EC-397A-46D0-85C1-2B8C3DA50C46},Ward 2
2629,Ft. Lincoln New Town & Premium Distr.,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-M-1,Final,99-5,0,0,{F2019AF0-2AE9-47C5-82DD-F3AD18065EEA},Ward 5
2630,Center for Strategic and Intl Studies,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-4,Final,02-51C,0,0,{5F13A355-5C95-4D7C-A2FC-255ED5318101},Ward 2
2636,United House of Prayer for All People,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-2-B,Final,09-05,0,0,{9C6CDC89-7938-41F0-B2E7-0ADA463D400A},Ward 6
2637,Capitol Gateway Overlay Review,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-3-C,Final,07-32,0,0,{673E1AC9-4277-47A6-8ADF-7F70FB10ED22},Ward 6
2638,Former Columbia Hospital for Women,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-2-C,Final,03-11,0,0,{39A8EE92-3DFE-4A8D-AF80-8CF08E8F4DBA},Ward 2
2639,Waterfront Associates,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-3-C,Final,02-38,0,0,{E3EBCD3F-C48F-4901-9B15-68C1E93A94F3},Ward 6
2640,New East Capitol Senior Building,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",R-5-A,Final,02-04,0,0,{6E1DB85E-612D-4F52-B563-08F84F4444D0},Ward 7
2641,JBG (Solar Building),http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-4,Final,02-24A,0,0,{F1F117C1-13F5-40AA-8F3A-87DE8D7313D4},Ward 2
2642,Nehemiah Homes at Fort Dupont,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",R-5-A,Final,01-12,0,0,{F4F564A7-AA13-4114-AEED-03DC8248EAD6},Ward 7
2643,Adams Morgan Garage & Residences,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010","RC/C-2-B, C-2-B",Final,97-1,0,0,{2C60055E-D0A2-477F-8064-033E8EF01F95},Ward 1
2644,Washington Hospital Center,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",SP-1,Final,94-21,0,0,{F2284380-8FA5-48B9-8FC1-9D5B8340D923},Ward 5
2645,BYU/Resources Center,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010","SP-1, R-5-E",Final,93-15,0,0,{6B0F2617-AE77-46EA-BABE-EFFA2B7556C1},Ward 2
2646,Boston Properties II,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",CR,Final,87-18,0,0,{4405832E-D4E7-48F9-86E2-726F7F6F3789},Ward 2
2647,Boston Properties,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Split from 87-18, 02/01/2011",CR,Final,86-1,0,0,{4D1CBCA7-862E-4D30-9A46-675C80088E1A},Ward 2
2648,Soapstone II,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-3-A,Final,84-13,0,0,{B7113647-0F61-49E9-8BE3-9C64E512FC64},Ward 3
2656,Trustees of the Corcoran Gallery of Art,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"ZC Case No. 07-13E, DC Register May 9, 2014",C-3-C,Final,07-13E,0,0,{BC199971-7D6B-46B6-8B84-AF32E9D06EC6},Ward 6
2657,2400 14th Street N.W.,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-2-B,Final,06-24,0,0,{728AE3DE-02F3-4007-8558-2E50E1DD0B91},Ward 1
2658,Gateway Market Center Inc.,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,PUD Modification 1/27/14,C-3-C,Final,06-40C,0,0,{B91B52BE-9452-4B1B-9DD6-133657EBBC6F},Ward 5
2659,St. Coletta of Greater Washington Inc.,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",SP-1,Final,03-21,0,0,{D0852EAA-D2D5-40F2-8728-874E5E895BF8},Ward 7
2660,Jemals Cayre Woodies LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",DD/C-4,Final,02-23,0,0,{298C9D6D-B3F4-41B7-BA1A-C57DE7F4BD9E},Ward 2
2661,1000 K Street NW,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",HR/C-3-C,Final,03-08,0,0,{17CE3043-6A7D-4B3C-AC4A-BC7A0428B09B},Ward 2
2662,3211 4th Street NE,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",SP-1,Final,98-18,0,0,{4DDD584D-F19A-405F-B962-BED69F0F7826},Ward 5
2655,Watergate Hotel,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",SP-2,Final,03-16,0,0,{808EDBA8-0FE4-426C-B1FE-C789D114CE85},Ward 2
2663,G.K.D. 1412 Chapin Street LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of August 20, 2010",C-2-B,Final,09-15,0,0,{8A5C960A-0CFC-493A-AEE2-44B9D32233AD},Ward 1
2664,The Athena Group LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",R-5-A,Final,08-21,0,0,{6814AA2C-041B-4A1D-A07D-8F625F4CC72C},Ward 3
2665,Florida Rock Properties Inc.,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-3-C,Final,04-14A,0,0,{1DFCF142-D616-4856-BA74-EB513AF0BED3},Ward 6
2666,Brookland Artspace Lofts LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-2-B,Final,09-08,0,0,{1696892B-B1E9-427E-9DFA-A127D94512A9},Ward 5
2667,Adams Morgan Church Hotel LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,Case # 11-17,C-2-B,Final,11-17,0,0,{0764089A-8FB6-4062-B508-49ECA0E2FE1C},Ward 1
2668,Governments of Czechoslovakia & Hungary & Indonesia & Poland,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Case 71-5, Order 70 (R-5-C changed to R-5-D via Order 721)",R-5-D,Final,71-5,0,0,{B8D468DC-71FD-49EA-B4DD-742EB8AD546D},Ward 3
2649,Ashmeade Associates,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010","R-5-C, R-5-B",Final,83-11,0,0,{1E630BD6-8F6C-4793-A099-5552B497A721},Ward 1
2650,Childrens Hospital National Med. Ctr,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",SP-2,Final,70-3,0,0,{068FBE6D-6E85-4E90-93EF-6A4BD101FBB3},Ward 5
2651,Non-Profit Community Development Corp.,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-2-B,Final,05-14,0,0,{72EAF9D8-26AF-4349-9F36-8F03A3933FE6},Ward 1
2652,Friendship-Macomb,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-2-A,Final,08-15,0,0,{267CE4BF-3981-48DD-8D79-05A60DB05C38},Ward 3
2653,Station Place,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-3-C,Final,03-31,0,0,{5E206D95-3B48-4B98-94B3-DADA1802F76B},Ward 6
2654,The Nannie Helen at 4800,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"PUD Approved Sept. 23, 2010",C-2-A,Final,10-11,0,0,{3C90B130-3724-42FD-B11D-A92D076B3E14},Ward 7
2477,Sibley Memorial Hospital,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",SP-1,Final,05-42,0,0,{6BB849DB-EC6D-4F38-83C8-AFBF778B9464},Ward 3
2478,MedStar Health - Wash. Hospital Center,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010","SP-1, SP-2",Final,04-17A,0,0,{2D1311A5-EEC3-48EF-A93E-69B8FD95F47F},Ward 5
2479,George Washington U. Residence Hall,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-3-C,Final,03-29A,0,0,{81E8DCA0-D566-405A-8E50-3B14F470AB87},Ward 2
2480,Lafayette Centre,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-3-B,Final,84-17,0,0,{3C99F959-9343-41FE-9007-ED3AB587B592},Ward 2
2561,One Judiciary Square,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-3-C,Final,97-11,0,0,{763D948C-60CC-42AB-AA0C-5F290F8F758F},Ward 2
2562,Pollin Memorial Community Dev.,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",R-5-A,Final,06-30,0,0,{E798EBF0-3431-481E-9AF4-8E8E6AFDFC6B},Ward 7
2563,Anacostia Gateway Government Center,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-3-A,Final,05-03,0,0,{6242C06A-A2D8-4C92-9745-402E6593A44E},Ward 8
